DATE,NN3_Optimized,Market
2012-08-31,0.3424314231202378,0.2849842542346896
2012-09-28,0.3227112653749242,0.22365763235979408
2012-10-31,0.29162936438454024,0.25015676259144515
2012-11-30,0.4264294184436882,0.3074475777968956
2012-12-31,0.44781433326820097,0.3468001235719661
2013-01-31,0.4953847057372507,0.35277877383107903
2013-02-28,0.3339920756751461,0.25369356699213536
2013-03-28,0.4603512759284468,0.3062954772495926
2013-04-30,0.39667672846564317,0.253372600764629
2013-05-31,0.3509912906979285,0.21232538433408812
2013-06-28,0.22936102762316254,0.1846399852906464
2013-07-31,0.3570926051027391,0.24691483369517675
2013-08-30,0.17196906585424868,0.13169904807658547
2013-09-30,0.21728611894373567,0.1961607693017236
2013-10-31,0.046123328285135864,0.08180988434176115
2013-11-29,0.05810512031981914,0.07511046130920873
2013-12-31,-0.09581999917330117,0.04569776847107497
2014-01-31,-0.14405158769712034,0.021372547668279285
2014-02-28,-0.19004723408243124,0.005627259555065467
2014-03-31,-0.18162909065406996,0.009325736369692899
2014-04-30,-0.20791860662183242,0.010869435817675122
2014-05-30,-0.006152835755941587,0.04033633174666585
2014-06-30,-0.13933160114628773,0.04010583022415749
2014-07-31,-0.17147696837071486,-0.009312626611109681
2014-08-29,-0.03272146789710066,0.018585247779093615
2014-09-30,-0.268277553054687,-0.0715220228487631
2014-10-31,-0.25082148081146804,-0.07059540511363604
2014-11-28,-0.060639329771676465,-0.04809268304782418
2014-12-31,-0.16721665201485925,-0.03906738915664545
2015-01-30,-0.07571738455838978,-0.08005421902232093
2015-02-27,-0.16136517166924166,-0.1332775087116757
2015-03-31,-0.31885526360700545,-0.16995950093230833
2015-04-30,-0.2411569512273441,-0.11456935144981954
