DATE,GBRT Fixed_ret12_Long,GBRT Fixed_ret12_Short,GBRT Fixed_ret12_LS,Market
2007-12-31,-0.4783076345920563,-0.5046452879905701,0.026337653398513794,-0.4558093786239624
2008-01-31,-0.43472006916999817,-0.5136138796806335,0.07889381051063538,-0.43218045234680175
2008-02-29,-0.43510210514068604,-0.4786726236343384,0.043570518493652344,-0.43383184969425204
2008-03-31,-0.48973026871681213,-0.5276169776916504,0.03788670897483826,-0.4745985001325607
2008-04-30,-0.4509715735912323,-0.43281516432762146,-0.01815640926361084,-0.4232133820652962
2008-05-30,-0.4026864171028137,-0.39847105741500854,-0.004215359687805176,-0.3625968635082245
2008-06-30,-0.38053393363952637,-0.35486868023872375,-0.025665253400802612,-0.3372001603245735
2008-07-31,-0.30815479159355164,-0.28011631965637207,-0.028038471937179565,-0.2511846512556076
2008-08-29,-0.22120079398155212,-0.20601096749305725,-0.015189826488494873,-0.19352633506059647
2008-09-30,-0.21044515073299408,-0.20127083361148834,-0.009174317121505737,-0.17677712365984916
2008-10-31,-0.0738079696893692,0.021394893527030945,-0.09520286321640015,0.012775793531909585
2008-11-28,0.10618732869625092,0.3730922341346741,-0.26690490543842316,0.25177416354417803
2008-12-31,0.6781880259513855,0.7472600936889648,-0.06907206773757935,0.5489467501640319
2009-01-30,0.39064428210258484,0.8072113394737244,-0.4165670573711395,0.5926178932189942
2009-02-27,0.5064853429794312,0.7291510701179504,-0.2226657271385193,0.6143415719270706
2009-03-31,1.2501426935195923,1.0437812805175781,0.20636141300201416,0.9535852938890457
2009-04-30,1.2234796285629272,0.9176520705223083,0.3058275580406189,0.8921030938625336
2009-05-29,0.6311061382293701,0.6594284176826477,-0.028322279453277588,0.6459234565496444
2009-06-30,0.5549288988113403,0.31643685698509216,0.23849204182624817,0.37825542986392974
2009-07-31,0.40632399916648865,0.18295185267925262,0.22337214648723602,0.2695453867316246
2009-08-31,0.32334086298942566,0.13695020973682404,0.18639065325260162,0.23214468061923982
2009-09-30,0.14287056028842926,0.04722160845994949,0.09564895182847977,0.10347638800740241
2009-10-30,0.17179365456104279,0.052189528942108154,0.11960412561893463,0.12857460901141166
