DATE,GBRT,Market
2009-07-31,0.40632397515045504,0.2695453866671706
2009-08-31,0.32334085600306733,0.23214467421302026
2009-09-30,0.1428705560147128,0.10347638579313308
2009-10-30,0.17179365203596242,0.12857460807820204
2009-11-30,0.2877347367433627,0.23983962147719798
2009-12-31,0.3119201094824643,0.2267297426217473
2010-01-29,0.3177848726629732,0.2368348475687693
2010-02-26,0.389366512907932,0.2719451480985762
2010-03-31,0.41302837469204057,0.27485834911997326
2010-04-30,0.31353270008281847,0.20383059204784
2010-05-28,0.20052868413414107,0.1581265694836761
2010-06-30,0.31461054747048417,0.23497853839041097
2010-07-30,0.3503686055129578,0.2857466889596596
2010-08-31,0.2133423448206118,0.18025832061904712
2010-09-30,0.15716260789717013,0.14732092674910238
2010-10-29,-0.08641044888341545,-0.06112757142804222
2010-11-30,-0.028580694618008582,-0.0011356414377519312
2010-12-31,-0.07117326597032124,-0.0318818241376295
2011-01-31,-0.15313150768576222,-0.0897066278655444
2011-02-28,-0.10865441667790017,-0.034686253663292206
2011-03-31,-0.12110138881882593,-0.04074794574463234
2011-04-29,-0.08741701458261698,-0.031156378061013422
2011-05-31,-0.08880732743553328,-0.05595904755244915
2011-06-30,-0.1123243937989972,-0.1033970086681113
2011-07-29,-0.03377831815889806,-0.05029582998995532
2011-08-31,0.009350892513792619,-0.02752763137714436
2011-09-30,0.11391319816968187,0.07828963952142187
2011-10-31,0.3138058928620112,0.24493453335713777
2011-11-30,0.18575586525602103,0.10615582441030699
2011-12-30,0.17773453310552106,0.13146806729618257
2012-01-31,0.20101065345231778,0.15457101407766963
2012-02-29,0.20444582262438282,0.1351306468653469
2012-03-30,0.16179731287197,0.10032370139589786
2012-04-30,0.18232404462372406,0.11790392750449372
2012-05-31,0.22648866709080304,0.1329524840513731
2012-06-29,0.3844579526912207,0.2535834924061916
2012-07-31,0.30212978632325205,0.20116635230834606
2012-08-31,0.4073131089325602,0.28496980708502223
2012-09-28,0.296899768290003,0.22366260567329793
2012-10-31,0.3453512775015509,0.25015630778272724
2012-11-30,0.48891968532738345,0.30744662163292225
2012-12-31,0.5579642146036542,0.3468001235719661
2013-01-31,0.5101517037620271,0.352807809907618
2013-02-28,0.3797275950618715,0.2536840549567076
2013-03-28,0.434507067150101,0.30627663889716733
2013-04-30,0.40103015337622516,0.25337178653639375
2013-05-31,0.34571281481621247,0.2123229585517581
2013-06-28,0.272513995247807,0.1846315151544976
2013-07-31,0.3115267486511331,0.2469275345058599
2013-08-30,0.15822474902153055,0.13170680584295238
2013-09-30,0.2581189189910373,0.19615880240108768
2013-10-31,0.11873187405420293,0.08180988434176115
2013-11-29,0.0732008550509673,0.07511046130920873
2013-12-31,0.0515408722207776,0.045684852434369184
2014-01-31,0.024657012655972817,0.02134053465113448
2014-02-28,-0.051490511312136215,0.005628569309062418
2014-03-31,-0.03873025935451379,0.009303988910547562
2014-04-30,-0.01947027778919443,0.010853119631318702
2014-05-30,0.002991406540506366,0.040330990375315755
2014-06-30,0.03222028500003098,0.040095745803208425
2014-07-31,-0.008375025323199689,-0.009324540444552828
2014-08-29,0.012413410927623438,0.018585247779093615
2014-09-30,-0.0468663222213406,-0.07154401559405921
2014-10-31,-0.04611100281379889,-0.07060749767440064
2014-11-28,0.006684528625079249,-0.04809686010043639
2014-12-31,-0.014642950894158473,-0.039076919778579515
2015-01-30,-0.026380031635555582,-0.08005590936530005
2015-02-27,-0.06310230292348706,-0.13328617819845054
2015-03-31,-0.1078149871629233,-0.1699940157697428
2015-04-30,-0.050849701460316636,-0.11458241366505144
